Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress
Walking,2020-06-21 18:00:46,false,"Vienna Walking","5.37","261","01:03:54","105","134","108","131","11:54","8:53","35","50","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:03:54","0:00","0.0","0:00","No","04:38.52","6","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-21 09:33:24,false,"Meditation ","0.00","11","00:11:37","67","76","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:37","0:00","0.0","0:00","No","11:36.97","1","0.0","15","10","18","-21","27","6","--"
Running,2020-06-20 16:13:09,false,"Vienna - Easy Run","7.75","449","00:48:32","171","189","181","201","6:16","4:46","116","140","0.88","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","48:32","0:00","0.0","0:00","No","01:34.40","10","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-20 08:52:13,false,"Meditation ","0.00","11","00:11:31","66","72","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","11:30.94","1","0.0","12","10","14","-5","16","11","--"
Cycling,2020-06-19 18:14:48,false,"Vienna Cycling","2.85","99","00:13:17","142","168","--","--","12.9","23.3","71","27","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:17","0:00","0.0","0:00","No","13:16.80","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-19 10:35:43,false,"Vienna Cycling","5.73","190","00:23:40","147","169","--","--","14.5","21.9","37","2","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","23:40","0:00","0.0","0:00","No","02:47.13","2","0.0","--","--","--","--","--","--","--"
Running,2020-06-19 09:04:22,false,"Vienna - Easy Run","12.12","721","01:21:46","164","184","178","194","6:45","5:35","23","28","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:21:46","0:00","0.0","0:00","No","01:27.94","14","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-19 08:31:44,false,"Vienna Cycling","5.40","116","00:22:00","121","151","--","--","14.7","25.7","18","55","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","22:00","0:00","0.0","0:00","No","01:34.29","2","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-19 07:54:22,false,"Meditation","0.00","11","00:11:32","68","92","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:32","0:00","0.0","0:00","No","11:32.09","1","0.0","12","9","15","-40","52","12","--"
Walking,2020-06-18 18:12:58,false,"Vienna Walking","9.10","487","01:58:19","105","146","96","156","13:01","1:44","175","207","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:58:19","0:00","0.0","0:00","No","01:14.42","10","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-18 08:25:19,false,"Meditation ","0.00","12","00:11:36","67","86","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:36","0:00","0.0","0:00","No","11:36.47","1","0.0","16","12","18","-9","30","21","--"
Walking,2020-06-17 21:41:44,false,"Vienna Walking","0.93","51","00:13:12","113","123","97","127","14:07","9:21","7","7","0.73","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:12","0:00","0.0","0:00","No","13:11.64","1","0.0","--","--","--","--","--","--","--"
Walking,2020-06-17 18:50:16,false,"Vienna Walking","0.86","45","00:10:33","105","113","75","125","12:16","4:41","12","64","1.08","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:33","0:00","0.0","0:00","No","10:32.62","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-17 14:13:58,false,"Vienna Cycling","2.74","62","00:11:04","121","149","--","--","14.9","22.8","7","25","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:04","0:00","0.0","0:00","No","11:04.49","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-17 09:32:06,false,"Vienna Cycling","2.95","89","00:12:43","136","166","--","--","13.9","23.3","23","43","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:43","0:00","0.0","0:00","No","12:43.08","1","0.0","--","--","--","--","--","--","--"
Running,2020-06-17 09:08:54,false,"Vienna - Easy Run","2.76","170","00:21:50","155","168","176","188","7:55","6:13","73","44","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","21:50","0:00","0.0","0:00","No","01:19.06","5","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-17 08:00:58,false,"Meditation ","0.00","--","00:11:30","--","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:30","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-16 19:54:41,false,"Vienna Cycling","3.25","96","00:14:33","133","152","--","--","13.4","21.1","27","84","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:33","0:00","0.0","0:00","No","14:32.87","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-16 11:34:21,false,"Vienna Cycling","4.41","128","00:16:52","141","158","--","--","15.7","26.4","25","27","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:52","0:00","0.0","0:00","No","16:51.56","1","0.0","--","--","--","--","--","--","--"
Running,2020-06-16 08:41:43,false,"Vienna - Easy Run","3.78","248","00:30:00","161","178","173","188","7:56","6:17","86","86","0.73","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","30:00","0:00","0.0","0:00","No","01:50.33","6","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-16 07:43:59,false,"Meditation ","0.00","13","00:11:31","71","85","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","11:30.64","1","0.0","17","12","23","-59","67","8","--"
Breathwork,2020-06-15 22:47:58,false,"Meditation ","0.00","12","00:11:31","69","86","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","11:31.30","1","0.0","14","12","17","-13","34","21","--"
Walking,2020-06-15 18:38:38,false,"Vienna Walking","1.56","76","00:18:52","110","118","92","161","12:06","9:30","97","8","0.89","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","18:52","0:00","0.0","0:00","No","07:05.55","2","0.0","--","--","--","--","--","--","--"
Walking,2020-06-14 12:04:05,false,"Hanover Walking","1.16","73","00:14:51","127","149","83","178","12:49","7:23","2","28","0.94","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:51","0:00","0.0","0:00","No","02:01.32","2","0.0","--","--","--","--","--","--","--"
Running,2020-06-14 10:49:52,false,"Hanover - Easy Run","10.01","601","01:08:44","166","179","179","192","6:52","5:47","22","6","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:08:44","0:00","0.0","0:00","No","03:06.40","12","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-14 10:11:10,false,"Meditation ","0.00","10","00:11:28","64","85","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:28","0:00","0.0","0:00","No","11:28.16","1","0.0","13","9","14","-14","31","17","--"
Cycling,2020-06-13 18:43:05,false,"Hanover Cycling","2.71","62","00:11:27","120","136","--","--","14.2","21.6","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:27","0:00","0.0","0:00","No","11:26.73","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-13 18:07:07,false,"Hanover Cycling","2.34","59","00:09:46.5","126","141","--","--","14.4","18.9","--","6","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:46.5","0:00","0.0","0:00","No","09:46.53","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-12 11:41:29,false,"Hanover Cycling","3.81","90","00:15:28","124","140","--","--","14.8","19.8","2","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:28","0:00","0.0","0:00","No","15:28.06","1","0.0","--","--","--","--","--","--","--"
Running,2020-06-12 10:04:14,false,"Hanover - Easy Run","5.89","332","00:40:30","161","173","181","190","6:53","6:03","--","2","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","40:30","0:00","0.0","0:00","No","03:05.33","8","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-12 08:09:53,false,"Meditation","0.00","--","00:11:30","--","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:30","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-11 09:17:14,false,"Meditation ","0.00","11","00:11:32","67","82","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:32","0:00","0.0","0:00","No","11:32.41","1","0.0","8","7","13","-9","13","4","--"
Breathwork,2020-06-10 23:16:41,false,"Meditation","0.00","14","00:11:34","72","80","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","2","11:34","0:00","0.0","0:00","No","11:34.41","1","0.0","16","11","24","-9","25","16","--"
Running,2020-06-10 08:29:20,false,"Hanover - Easy Run","5.89","332","00:38:38","164","175","184","190","6:34","0:43","2","--","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","38:38","0:00","0.0","0:00","No","01:57.80","8","0.0","--","--","--","--","--","--","--"
Running,2020-06-09 09:59:42,false,"Hanover - Easy Run","5.86","331","00:37:11","167","186","183","191","6:21","0:46","--","--","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","37:11","0:00","0.0","0:00","No","00:50.72","8","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-08 19:26:16,false,"Hanover Cycling","2.73","59","00:11:55","116","135","--","--","13.8","20.2","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:55","0:00","0.0","0:00","No","11:55.19","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-08 15:15:34,false,"Hanover Cycling","2.71","71","00:10:50","131","143","--","--","15.0","19.6","2","64","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:50","0:00","0.0","0:00","No","10:49.64","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-08 14:33:00,false,"Hanover Cycling","0.95","24","00:04:18.2","120","152","--","--","13.2","23.7","13","6","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","4:18.2","0:00","0.0","0:00","No","04:18.20","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-08 09:05:14,false,"Meditation","0.00","14","00:11:48","72","92","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:48","0:00","0.0","0:00","No","11:48.10","1","0.0","15","11","16","4","21","25","--"
Cycling,2020-06-07 18:45:48,false,"Hanover Cycling","4.80","106","00:21:39","117","133","--","--","13.3","20.2","2","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","21:39","0:00","0.0","0:00","No","21:38.82","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-07 17:07:37,false,"Hanover Cycling","2.60","62","00:10:11","125","143","--","--","15.3","22.7","--","2","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:11","0:00","0.0","0:00","No","10:10.70","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-07 08:12:51,false,"Meditation ","0.00","12","00:11:39","71","80","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:39","0:00","0.0","0:00","No","11:39.13","1","0.0","10","9","12","3","9","12","--"
Running,2020-06-06 10:17:20,false,"Hanover Running","4.12","238","00:27:25","165","174","181","188","6:39","6:08","--","31","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","27:25","0:00","0.0","0:00","No","00:48.27","5","0.0","--","--","--","--","--","--","--"
Running,2020-06-06 10:04:22,false,"Hanover - Easy Run","1.69","91","00:11:52","150","165","178","186","7:01","6:00","--","--","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:52","0:00","0.0","0:00","No","00:01.14","4","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-06 08:51:43,false,"Meditation ","0.00","11","00:11:32","66","86","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:32","0:00","0.0","0:00","No","11:32.28","1","0.0","10","8","15","-21","22","1","--"
Cycling,2020-06-05 18:27:15,false,"Hanover Cycling","2.65","65","00:10:58","124","150","--","--","14.5","20.7","2","11","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:58","0:00","0.0","0:00","No","10:58.14","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-05 17:43:28,false,"Laatzen Cycling","6.32","143","00:25:31","125","141","--","--","14.9","22.7","12","17","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","25:31","0:00","0.0","0:00","No","05:36.55","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-05 16:35:11,false,"Hanover Cycling","8.95","230","00:33:20","139","149","--","--","16.1","22.8","14","9","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","33:20","0:00","0.0","0:00","No","15:33.13","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-05 16:05:56,false,"Hanover Cycling","1.98","53","00:07:48.5","132","144","--","--","15.2","24.8","42","14","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","7:48.5","0:00","0.0","0:00","No","07:48.47","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-05 07:59:12,false,"Meditation ","0.00","14","00:11:30","73","83","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:30","0:00","0.0","0:00","No","11:29.76","1","0.0","12","9","14","-10","19","9","--"
Cycling,2020-06-04 22:10:23,false,"Laatzen Cycling","8.49","189","00:34:39","126","139","--","--","14.7","18.6","--","8","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","34:39","0:00","0.0","0:00","No","14:20.05","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-04 17:54:29,false,"Hanover Cycling","7.72","178","00:28:53","131","149","--","--","16.0","23.6","13","5","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","28:53","0:00","0.0","0:00","No","10:41.72","2","0.0","--","--","--","--","--","--","--"
Running,2020-06-04 08:59:40,false,"Hanover - Easy Run","8.47","487","00:56:25","164","176","179","188","6:39","5:40","6","9","0.84","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","56:25","0:00","0.0","0:00","No","00:03.83","11","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-04 08:21:54,false,"Meditation","0.00","11","00:11:36","67","80","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:36","0:00","0.0","0:00","No","11:35.88","1","0.0","13","9","14","-11","30","19","--"
Cycling,2020-06-03 17:24:40,false,"Hanover Cycling","1.37","36","00:06:37.2","119","132","--","--","12.4","21.8","6","11","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","6:37.2","0:00","0.0","0:00","No","06:37.20","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-03 15:32:06,false,"Hanover Cycling","4.10","132","00:25:53","122","160","--","--","9.5","21.1","14","3","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","25:53","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-03 14:23:20,false,"Hanover Cycling","2.52","63","00:10:04","127","142","--","--","15.1","22.9","2","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:04","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Running,2020-06-03 10:43:30,false,"Hanover - Easy Run","6.00","351","00:40:16","172","189","176","184","6:42","5:19","2","--","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","40:16","0:00","0.0","0:00","No","02:03.77","8","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-03 09:41:13,false,"Meditation","0.00","17","00:11:31","79","96","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","00:00.00","1","0.0","13","10","15","-57","88","31","--"
Cardio,2020-06-02 22:33:20,false,"Cardio","0.00","47","00:10:31","111","131","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:31","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-02 08:51:31,false,"Meditation ","0.00","13","00:11:34","76","84","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:34","0:00","0.0","0:00","No","00:00.00","1","0.0","10","8","12","-14","33","19","--"
Cycling,2020-06-01 15:46:34,false,"Hanover Cycling","3.22","67","00:17:03","106","124","--","--","11.3","18.2","2","2","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","17:03","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-06-01 14:30:28,false,"Hanover Cycling","2.42","53","00:09:57.8","119","128","--","--","14.6","21.3","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:57.8","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-06-01 08:57:31,false,"Meditation ","0.00","12","00:11:28","72","79","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:28","0:00","0.0","0:00","No","00:00.00","1","0.0","11","8","12","2","14","16","--"
Cycling,2020-05-31 17:19:04,false,"Hanover Cycling","2.05","45","00:08:34.5","117","127","--","--","14.3","18.6","--","12","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:34.5","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-05-31 15:46:47,false,"Hanover Cycling","2.50","52","00:08:39.2","125","141","--","--","17.3","22.6","2","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:39.2","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-05-31 09:50:49,false,"Meditation ","0.00","13","00:11:30","70","95","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:30","0:00","0.0","0:00","No","00:00.00","1","0.0","11","8","13","-19","33","14","--"
Cardio,2020-05-30 20:43:23,false,"Pamela","0.00","51","00:09:42.3","119","149","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:42.3","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Yoga,2020-05-30 19:56:45,false,"Yoga","0.00","60","00:32:39","83","110","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","32:39","0:00","0.0","0:00","No","00:00.00","1","0.0","17","12","21","-23","78","55","--"
Walking,2020-05-30 13:14:25,false,"Hanover Walking","1.93","121","00:24:01","132","146","97","154","12:29","9:52","2","17","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","24:01","0:00","0.0","0:00","No","11:53.88","2","0.0","--","--","--","--","--","--","--"
Running,2020-05-30 12:39:51,false,"Hanover - Easy Run","4.60","273","00:33:05","170","188","158","188","7:11","5:36","4","2","0.89","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","33:05","0:00","0.0","0:00","No","00:42.71","7","0.0","--","--","--","--","--","--","--"
Breathwork,2020-05-30 09:28:39,false,"Meditation","0.00","13","00:11:31","75","86","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","00:00.00","1","0.0","12","9","16","-2","20","18","--"
Walking,2020-05-29 13:35:37,false,"Hanover Walking","0.69","41","00:10:06","107","118","90","135","14:39","9:10","3","40","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:06","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-05-29 10:10:05,false,"Meditation","0.00","11","00:11:31","67","79","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:31","0:00","0.0","0:00","No","00:00.00","1","0.0","13","11","15","-3","18","15","--"
Yoga,2020-05-28 18:20:28,false,"Yoga","0.00","70","00:36:08","84","116","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","36:08","0:00","0.0","0:00","No","00:00.00","1","0.0","17","12","23","39","0","39","--"
Yoga,2020-05-28 11:06:02,false,"Yoga","0.00","70","00:26:14","93","118","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","26:14","0:00","0.0","0:00","No","00:00.00","1","0.0","17","12","24","11","13","24","--"
Breathwork,2020-05-28 10:37:02,false,"Meditation","0.00","10","00:11:20","69","85","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","2","11:20","0:00","0.0","0:00","No","00:00.00","1","0.0","10","7","24","-4","16","12","--"
Yoga,2020-05-27 11:11:58,false,"Yoga","0.00","57","00:22:58","91","109","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","22:58","0:00","0.0","0:00","No","00:00.00","1","0.0","16","12","24","12","21","33","--"
Breathwork,2020-05-27 10:36:19,false,"Meditation","0.00","12","00:11:33","70","93","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:33","0:00","0.0","0:00","No","00:00.00","1","0.0","10","8","12","-11","29","18","--"
Breathwork,2020-05-26 10:48:43,false,"Meditation ","0.00","10","00:11:35","66","75","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:35","0:00","0.0","0:00","No","00:00.00","1","0.0","10","8","12","-10","20","10","--"
Breathwork,2020-05-25 11:31:40,false,"Meditation ","0.00","12","00:11:21","69","91","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:21","0:00","0.0","0:00","No","00:00.00","1","0.0","9","7","13","-12","21","9","--"
Breathwork,2020-05-24 09:15:49,false,"Meditation ","0.00","12","00:11:30","73","79","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:30","0:00","0.0","0:00","No","00:00.00","1","0.0","15","12","22","-4","27","23","--"
Walking,2020-05-23 13:12:21,false,"Hanover Walking","1.96","98","00:26:28","116","123","104","119","13:29","11:36","--","--","0.71","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","26:28","0:00","0.0","0:00","No","13:05.37","2","0.0","--","--","--","--","--","--","--"
Running,2020-05-23 12:40:05,false,"Hanover - Easy Run","3.46","197","00:25:26","158","175","162","188","7:22","5:51","7","6","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","25:26","0:00","0.0","0:00","No","00:26.20","6","0.0","--","--","--","--","--","--","--"
Yoga,2020-05-23 11:22:40,false,"Yoga","0.00","39","00:20:56","87","100","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","20:56","0:00","0.0","0:00","No","00:00.00","1","0.0","15","12","17","-6","36","30","--"
Breathwork,2020-05-23 08:59:25,false,"Meditation","0.00","17","00:11:28","80","90","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:28","0:00","0.0","0:00","No","00:00.00","1","0.0","13","11","17","-11","39","28","--"
Breathwork,2020-05-22 23:21:08,false,"Meditation ","0.00","13","00:11:29","71","75","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:29","0:00","0.0","0:00","No","00:00.00","1","0.0","9","7","13","-7","17","10","--"
Yoga,2020-05-22 22:24:45,false,"Yoga","0.00","62","00:22:00","97","114","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","22:00","0:00","0.0","0:00","No","00:00.00","1","0.0","18","12","24","-4","64","60","--"
Walking,2020-05-22 20:26:13,false,"Hanover Walking","2.31","144","00:36:25","123","135","77","148","15:44","10:38","2","2","0.84","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","36:25","0:00","0.0","0:00","No","05:07.44","3","0.0","--","--","--","--","--","--","--"
Running,2020-05-22 20:15:09,false,"Hanover - Benchmark Run","1.46","74","00:09:00","156","167","175","182","6:09","5:05","2","3","0.93","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:00","0:00","0.0","0:00","No","02:00.00","3","0.0","--","--","--","--","--","--","--"
Breathwork,2020-05-22 10:05:20,false,"Meditation ","0.00","13","00:11:23","73","84","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:23","0:00","0.0","0:00","No","00:00.00","1","0.0","11","8","14","11","11","22","--"
Cycling,2020-05-21 19:22:52,false,"Hanover Cycling","3.82","132","00:15:20","141","167","--","--","14.9","29.3","4","46","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:20","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-05-21 17:36:33,false,"Pepimuf","0.00","656","01:28:14","159","186","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","11","1","1:28:14","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-05-21 16:53:50,false,"Hanover Cycling","10.25","308","00:33:45","169","186","--","--","18.2","27.3","21","9","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","33:45","0:00","0.0","0:00","No","01:07.51","3","0.0","--","--","--","--","--","--","--"
Yoga,2020-05-21 09:45:04,false,"Yoga","0.00","93","00:41:08","92","110","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","41:08","0:00","0.0","0:00","No","00:00.00","1","0.0","15","12","18","-8","21","13","--"
Breathwork,2020-05-21 09:11:21,false,"Meditation","0.00","12","00:11:30","72","90","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:30","0:00","0.0","0:00","No","00:00.00","1","0.0","12","10","14","-20","47","27","--"
