Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress
Walking,2020-10-17 15:13:33,false,"Linz Walking","1.16","33","00:12:07","78","96","125","140","10:24","9:39","18","13","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:07","0:00","0.0","0:00","No","01:44.95","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-10-13 21:06:17,false,"Linz Cycling","5.21","130","00:22:41","126","141","--","--","13.8","22.5","68","12","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","22:41","0:00","0.0","0:00","No","01:18.49","2","0.0","--","--","--","--","--","--","--"
Running,2020-10-13 15:34:50,false,"Linz Running","0.20","10","00:02:13.4","115","118","117","137","11:18","9:21","2","25","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","2:13.4","0:00","0.0","0:00","No","02:13.40","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-07 13:08:28,false,"Linz Walking","0.99","52","00:13:09","110","133","102","125","13:17","11:40","17","--","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:09","0:00","0.0","0:00","No","13:08.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-07 12:35:18,false,"Linz Walking","1.05","50","00:13:29","110","119","96","137","12:53","10:05","--","23","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:29","0:00","0.0","0:00","No","00:40.88","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-06 16:09:23,false,"Linz Walking","1.06","56","00:14:01","117","131","100","134","13:14","9:10","9","4","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:01","0:00","0.0","0:00","No","01:17.05","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-06 15:50:25,false,"Linz Walking","0.71","33","00:08:54.9","107","127","97","154","12:32","8:56","--","28","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:54.9","0:00","0.0","0:00","No","08:54.91","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-10-05 17:32:23,false,"Train","0.00","578","02:08:20","124","170","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","4","1","2:08:20","0:00","0.0","0:00","No","02:08:20.31","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-05 17:17:56,false,"Linz Walking","0.84","44","00:08:43.9","122","137","114","188","10:25","5:41","38","4","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:43.9","0:00","0.0","0:00","No","08:43.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-02 15:53:29,false,"Vienna Walking","1.28","61","00:17:05","105","115","95","207","13:23","2:02","9","36","0.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","17:05","0:00","0.0","0:00","No","03:49.20","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-02 15:06:26,false,"Vienna Walking","1.29","64","00:18:56","105","116","85","143","14:44","10:49","6","16","0.84","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","18:56","0:00","0.0","0:00","No","03:59.14","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-01 11:51:55,false,"Vienna Walking","1.11","53","00:12:28","120","135","111","129","11:14","9:21","126","2","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:28","0:00","0.0","0:00","No","01:00.59","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-30 20:44:37,false,"Vienna Walking","1.97","109","00:29:53","113","135","92","226","15:10","7:23","30","--","0.73","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","29:53","0:00","0.0","0:00","No","14:35.90","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-30 20:25:38,false,"Vienna Walking","0.98","47","00:15:09","109","119","86","119","15:28","11:36","70","11","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:09","0:00","0.0","0:00","No","15:09.25","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-30 20:00:02,false,"Vienna Walking","1.42","70","00:19:24","113","130","93","151","13:38","10:46","--","159","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","19:24","0:00","0.0","0:00","No","06:06.33","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-29 16:44:45,false,"Vienna Walking","3.00","142","00:40:33","107","118","100","158","13:30","9:36","13","15","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","40:33","0:00","0.0","0:00","No","00:04.55","4","0.0","--","--","--","--","--","--","--"
Running,2020-09-28 17:51:31,false,"Linz Running","7.31","445","00:48:23","168","194","176","195","6:37","4:55","27","25","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","48:23","0:00","0.0","0:00","No","02:05.97","8","0.0","--","--","--","--","--","--","--"
Walking,2020-09-27 17:36:51,false,"Linz Walking","0.64","57","00:09:01.9","135","167","95","208","14:10","11:10","43","78","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:01.9","0:00","0.0","0:00","No","09:01.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-27 14:34:51,false,"Linz Walking","1.06","58","00:14:26","115","128","107","127","13:36","4:20","15","--","0.69","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:26","0:00","0.0","0:00","No","01:19.77","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-26 19:53:24,false,"Linz Walking","0.59","29","00:07:29.9","107","120","108","129","12:36","7:27","2","20","0.73","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","7:29.9","0:00","0.0","0:00","No","07:29.92","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-25 16:47:00,false,"Linz Walking","0.84","42","00:10:58","107","116","96","132","13:05","10:38","--","2","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:58","0:00","0.0","0:00","No","10:57.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-25 10:50:12,false,"Linz Walking","0.79","42","00:10:09","111","127","104","132","12:53","11:10","16","20","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:09","0:00","0.0","0:00","No","10:08.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-24 17:17:50,false,"Linz Walking","1.33","77","00:16:20","124","137","103","129","12:16","10:31","15","--","0.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:20","0:00","0.0","0:00","No","03:48.18","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-23 12:03:34,false,"Linz Walking","0.87","59","00:13:22","121","138","84","218","15:20","9:55","19","17","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:22","0:00","0.0","0:00","No","13:21.85","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-22 11:06:37,false,"Linz Walking","1.49","87","00:19:28","124","146","106","133","13:04","11:06","49","--","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","19:28","0:00","0.0","0:00","No","06:29.16","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-22 10:38:25,false,"Linz Walking","1.21","69","00:18:16","117","129","93","159","15:04","10:05","--","13","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","18:16","0:00","0.0","0:00","No","04:18.11","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-20 18:47:37,false,"Linz Cycling","1.75","30","00:06:33.3","109","123","--","--","16.0","23.4","18","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","6:33.3","0:00","0.0","0:00","No","06:33.33","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-20 17:07:09,false,"Steyregg Walking","1.12","55","00:16:34","108","119","84","125","14:46","11:36","--","67","0.88","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","16:34","0:00","0.0","0:00","No","02:03.68","2","0.0","--","--","--","--","--","--","--"
Running,2020-09-19 20:30:44,false,"Linz Running","0.20","11","00:02:28.9","121","127","91","125","12:19","10:05","31","--","0.90","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","2:28.9","0:00","0.0","0:00","No","02:28.92","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-19 19:44:03,false,"Linz Walking","1.30","71","00:15:28","118","139","108","131","11:55","0:47","40","5","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:28","0:00","0.0","0:00","No","04:06.99","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-19 12:26:49,false,"Linz Walking","1.58","81","00:24:07","111","120","94","229","15:16","9:24","57","2","0.70","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","24:07","0:00","0.0","0:00","No","09:16.68","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-19 11:57:28,false,"Linz Walking","1.42","75","00:19:23","112","119","103","132","13:36","10:34","86","--","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","19:23","0:00","0.0","0:00","No","06:07.07","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-19 10:27:23,false,"Linz Walking","0.87","40","00:10:51","109","117","100","135","12:29","3:58","--","56","0.80","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:51","0:00","0.0","0:00","No","10:51.20","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-17 20:36:45,false,"Linz Walking","1.66","80","00:26:21","104","111","78","158","15:51","12:19","2","8","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","26:21","0:00","0.0","0:00","No","10:21.66","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-17 20:07:43,false,"Linz Walking","0.71","35","00:11:28","110","117","64","125","16:10","10:46","--","2","0.97","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:28","0:00","0.0","0:00","No","00:47.22","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-16 19:06:58,false,"Hanover Cycling","3.72","68","00:13:39","114","137","--","--","16.3","30.5","2","23","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:39","0:00","0.0","0:00","No","13:39.38","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-15 12:08:36,false,"Hanover Walking","1.50","85","00:20:58","119","128","92","129","13:58","6:28","3","--","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","20:58","0:00","0.0","0:00","No","07:33.05","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-15 11:08:29,false,"Hanover Walking","3.19","150","00:46:13","113","125","89","221","14:30","12:14","22","--","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","46:13","0:00","0.0","0:00","No","02:36.23","4","0.0","--","--","--","--","--","--","--"
Walking,2020-09-14 19:34:21,false,"Hanover Walking","0.75","35","00:09:30.9","101","108","103","137","12:39","9:52","--","10","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:30.9","0:00","0.0","0:00","No","09:30.92","1","0.0","--","--","--","--","--","--","--"
Walking,2020-09-14 16:54:42,false,"Hanover Walking","1.73","82","00:21:54","107","124","97","129","12:39","8:45","6","30","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","21:54","0:00","0.0","0:00","No","10:00.01","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-13 14:05:01,false,"Hanover Cycling","8.21","180","00:39:35","114","147","--","--","12.4","21.7","8","9","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","39:35","0:00","0.0","0:00","No","12:26.11","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-13 13:00:59,false,"Hanover Cycling","8.04","172","00:27:25","129","156","--","--","17.6","25.0","10","73","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","27:25","0:00","0.0","0:00","No","11:01.51","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-12 15:52:06,false,"Hanover Cycling","5.87","142","00:22:02","130","160","--","--","16.0","30.5","16","5","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","22:02","0:00","0.0","0:00","No","04:02.14","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-08 16:20:35,false,"Hanover Walking","1.13","59","00:13:18","117","133","104","159","11:49","7:56","2","29","0.82","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:18","0:00","0.0","0:00","No","01:27.54","2","0.0","--","--","--","--","--","--","--"
Walking,2020-09-06 09:32:52,false,"Springe Walking","14.04","773","03:14:22","109","158","86","239","13:51","5:58","429","434","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","3:14:22","0:00","0.0","0:00","No","00:20.00","15","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-05 19:19:13,false,"Hanover Cycling","4.14","75","00:14:15","117","131","--","--","17.4","30.5","80","5","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:15","0:00","0.0","0:00","No","14:14.76","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-05 13:36:55,false,"Südheide Cycling","44.43","966","02:55:37","132","177","--","--","15.2","24.7","137","129","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","2:55:37","0:00","0.0","0:00","No","17:35.49","9","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-05 12:05:56,false,"Hanover Cycling","4.28","105","00:15:24","132","150","--","--","16.7","25.0","6","35","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:24","0:00","0.0","0:00","No","15:23.84","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-09-03 13:59:44,false,"Hanover Cycling","23.38","476","01:35:06","123","149","--","--","14.8","23.6","61","13","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:35:06","0:00","0.0","0:00","No","13:12.63","5","0.0","--","--","--","--","--","--","--"
Walking,2020-08-15 11:40:53,false,"Hanover Walking","2.06","62","00:17:13","103","116","82","131","8:22","1:27","21","2","3.29","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","17:13","0:00","0.0","0:00","No","00:04.02","3","0.0","--","--","--","--","--","--","--"
Walking,2020-08-15 09:49:24,false,"Hanover Walking","1.12","76","00:12:39","134","154","107","190","11:18","5:41","2","--","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:39","0:00","0.0","0:00","No","01:36.78","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-08-10 14:56:56,false,"Hanover Cycling","2.35","62","00:08:56.9","132","146","--","--","15.8","19.9","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:56.9","0:00","0.0","0:00","No","08:56.93","1","0.0","--","--","--","--","--","--","--"
Open Water Swimming,2020-08-10 14:16:29,false,"Hanover Open Water Swimming","111","114","00:18:11","126","153","--","--","16:20","0:57","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","18:11","0:00","0.0","0:00","No","18:10.85","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-08-10 13:57:45,false,"Hanover Cycling","2.24","48","00:09:19.6","115","126","--","--","14.4","18.9","2","32","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:19.6","0:00","0.0","0:00","No","09:19.64","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-08-09 08:32:48,false,"Hanover Cycling","2.82","71","00:11:20","126","153","--","--","14.9","20.7","11","21","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:20","0:00","0.0","0:00","No","11:20.31","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-08-08 14:36:31,false,"Hanover Cycling","2.21","58","00:08:40.1","129","141","--","--","15.3","19.9","6","31","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:40.1","0:00","0.0","0:00","No","08:40.07","1","0.0","--","--","--","--","--","--","--"
Open Water Swimming,2020-08-08 14:19:55,false,"Hanover Open Water Swimming","50","67","00:11:57","121","151","--","--","23:49","2:25","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","11:57","0:00","0.0","0:00","No","11:56.83","1","0.0","--","--","--","--","--","--","--"
Open Water Swimming,2020-08-08 13:42:31,false,"Open Water Swimming","--","105","00:12:19","150","167","--","--","1:00:00","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:19","0:00","0.0","0:00","No","12:19.36","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-08-08 13:21:04,false,"Hanover Cycling","2.85","59","00:12:10","112","130","--","--","14.0","19.7","8","2","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:10","0:00","0.0","0:00","No","12:10.37","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-08-07 12:30:45,false,"Hanover Cycling","2.28","54","00:08:00.0","129","144","--","--","17.1","20.9","5","39","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:00.0","0:00","0.0","0:00","No","08:00.04","1","0.0","--","--","--","--","--","--","--"
Pool Swimming,2020-08-07 11:49:05,false,"Pool Swimming","1,188","266","00:13:13","149","162","--","--","1:06","0:23","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","419","100","32","--","--","13:13","0:00","0.0","0:00","No","00:02.35","3","0.0","--","--","--","--","--","--","--"
